shift_id,employee_id,shift_name,start_time,end_time
e3dc8aed-67d5-4c74-9390-2e6d46999c72,e567f7d3-1e70-415f-b1dc-b05d894a8dca,north,07:38:41,10:55:18
86309dd6-1f42-4ed1-847c-3dd4e881a393,201bd5e2-c258-4f3c-8063-a63807fed510,source,18:21:59,21:55:44
1327a7ba-c954-4c4a-9310-d05b8faaf213,15dfa5d3-f5f8-4f98-abaa-8d4691500463,south,13:39:54,18:48:35
840cd924-611b-40ab-bb0b-cc39779a7acf,a7804b0a-2e46-4461-958d-4dbecdd79726,line,01:47:33,13:25:42
f1fa177e-6097-4591-ad5e-0bc51d2d38fb,590ef3a7-4865-4a32-97eb-636728719f9f,here,05:08:02,19:37:33
d74d95f0-6969-4de0-b5d1-23e5ff459ba4,c15143b7-97ce-4f21-aaa8-0739474c882a,matter,05:47:50,12:03:53
a6ae8eb0-8bfa-471f-b645-24b3e3723cfa,ae904f66-5c64-4812-bb5a-1850d821d5f6,air,18:25:07,22:11:18
6dcfb081-3053-4879-a2d7-e10ff134f20e,02df4667-071c-44e3-aafb-0801fc828fc9,particular,18:58:42,22:51:23
4c3d7eeb-6899-4098-9ec9-7c148ac26262,d9e94395-af16-4f3a-96bf-83ec1aa5de98,professional,09:26:46,21:41:22
298e9c91-4d5e-4ec7-a5d0-6f3efc798473,ae55afa6-cf40-4e85-8a1e-7f4971d9cb4a,recognize,04:06:40,08:01:19
1394c7bf-8fe8-4312-86b4-880a1591c4ad,47d676fc-98fa-4d0e-af55-735d92b90d13,alone,16:45:12,21:39:50
47b5790c-bee7-4b51-8b95-6da48db31666,041451ff-8f4c-49ec-bbbd-f760fa02a83e,moment,11:37:06,21:46:10
3d3d5c34-e310-494f-b908-206f3a8698ee,c14e960e-abc3-4199-a7ab-648f8d508a86,kid,15:47:04,20:21:04
e7befce5-3520-4dff-b423-f7a2a45d4395,f257defc-0539-4ba2-9355-ef49f8b77c40,language,07:25:41,22:36:54
407897be-eb79-4b3e-b9b5-70d35b4b8f07,1ed480dd-f423-48e2-af04-5dca5de35e29,try,02:22:46,11:34:14
780ebac5-6fc2-4f10-bd83-3c227c56ebd2,8fcad937-7ea2-4a98-aa7a-2f85a29af7ca,amount,12:43:24,16:39:33
94f14ef4-8f13-4001-aff0-38c4f9fe183b,00cd47a4-974f-4415-8f44-203022ed651a,training,09:58:33,15:11:28
28c29c1b-87f5-485a-9067-61daba4f0c58,8e900b7f-9ae1-47af-aa81-ad6d1f374658,help,00:36:26,10:00:56
