author_id,book_id
9d8d979e-0f15-4220-9f80-c5d9644fc4f0,b907fb5d-3f70-47fc-8339-02c8bb2db042
feb24978-4e11-468d-b630-7c6f73cf0fee,8af598d3-0781-4237-af71-fc7fc8d6397a
8daffac5-6833-4202-825d-37fbb37b93ef,b1b2d8d9-3928-4375-9cd2-6a4d3e25e39a
1810f644-d885-489f-adca-61cc76bd0176,f8dc7983-4e44-48f5-b129-2b991d2235e4
dbec8685-cf8f-493a-834b-d697f2731634,ca0f3830-345d-452d-8b13-d4686d46d6d0
c087aede-1ec7-4ccd-b3bc-81b83bc1c56a,a749397a-0812-47eb-9c2c-bbf89253bdcc
5fd35a86-ca88-43a9-8e63-41a05e3322e5,9031a2b2-65cd-4522-96c0-658d0694203b
70c30f79-ee31-4e36-92b1-0d9a8f33441c,c5f75aee-57fd-4f93-a2a8-0e274f7ce1f1
facab590-6157-4a4b-a0b0-137b6a2bf031,36bcd2ea-d3dd-44c2-9936-cb4194501012
98e82460-c41e-4e05-ba68-0eb7dc9d2ced,50babfeb-cb9c-4951-8e8d-941e81e56e7f
e7bda3c9-f770-4ceb-8f5f-eb649104717f,0735781c-aac9-496e-8a48-ff9c6a6622d3
9db05739-5e0b-480f-a13c-d5693d69426a,88a0044c-032e-4269-9aad-942554b60cc5
bea4777a-08a0-44c3-82f5-b8c5be18483a,86241e81-a993-45cb-82e3-35ae59bf4e34
7219a368-8027-4349-a10f-eabf647f1999,2708b4b6-b4a0-454c-a81a-0bf716d92660
1fa32dc3-bff3-4c71-a2af-7ccbf1c6a857,fe04aaf7-fff7-49de-b4e7-1fbf0980f7f9
a2ebf8fd-de12-4af6-afff-a7619f1633db,a7024ac3-bee5-4672-841c-905f27319bc3
febf5821-5ca0-4236-afde-18e1b592deb8,78fbad9d-7220-4ee1-867a-bdd9c935f651
4196cfa7-6cf8-44d2-8938-8bdd1c8c2701,02ece38d-e652-426e-9a81-dabaf769b232
0c797e12-4629-4413-bfa2-eeef9bf39f49,e98a2561-f503-4473-baef-54930ab7fce6
47c3ebe8-19cd-41b9-a705-bd15efc924c1,2d22828d-c095-4886-8f12-7681a17332aa
b52ee28c-4d98-467c-b6bb-a674b71ba220,4bea456f-26be-440b-b608-2eaa721f1e9c
82f4c474-d1e8-4eaa-bb9b-6fbf4d8bd156,dd3ec515-2035-43ce-9592-c968113c46df
70c56d53-3bbc-4c47-8c07-5d51525bb4fa,12a707af-6e27-4ebb-b9d8-b8511ed10a51
56808435-569f-4c26-bde1-c1b4007447a5,3ffaa3a4-5d55-42c0-a480-87d37a4dccc4
8c19d2ae-ac42-43a1-b4fb-3b8c72f1c9d0,ca63158a-001e-4b65-a559-f9756d3ed2e6
ea087707-aff6-485b-882a-94a81f5c95f3,9fa17820-730b-4abb-addc-134e581565a6
03e83c1b-14d8-4a08-bf59-020cfb13298c,9e4823e5-1933-4656-8ec4-8824aacb1de9
b1c1bf1c-1031-4c0d-9c62-3c73fa272324,e8bf6329-4d43-4471-9b6e-09c2c79ea7b7
34955b5f-cbf6-4020-988b-3ae18f4eb7bc,d80aede4-a394-459c-ba84-9002d2047bc6
b84f1c28-54a4-4df7-b830-203ee8eb5b1a,b346b2d8-f45b-4d36-9f85-5741f71ad351
a24894ae-e888-4bd6-8e35-dab69f081ed5,8d3e5620-c8c2-4657-a9ca-f227985b3f08
598e8834-476e-466c-bb8d-db7feb52703c,fe55e42a-934c-4bf0-9b4b-0f3fa6bf4fd2
9cfcbe5b-0564-4e8d-8571-5b69b7359fcf,b7d9c3a0-b436-429e-b026-c61cc64e90fc
c00a6277-fcca-42e4-ad0f-a67f8f8e7abb,17f8cdb0-60a2-4b6c-9bbc-ca2a75f9dc8d
12ea7e9a-7614-43f7-99e7-4c718ae3dc45,55c5ae99-c05f-472c-abf3-aa1cdbc7f571
